Category,Question,Answer
Food & Drink,What can you do after eating a garlic doused Indian meal in order to prevent your breath smelling of garlic the day after?,Drink a Lassie (yoghurt drink) to coat your throat
General,"Small, active, carnivorous freshwater fish, found in the islands of the southern caribbean sea & in northern south america",Guppy
General,What was given to children to rid them of threadworm,Salt enema
General,What New Zealand native was the first man to climb Mt. Everest?,Sir Edmund Hillary
General,What are great waves resulting from earthquakes,Tsunami waves
Science & Nature,What is an emasculated stallion called,Gelding
Sports & Leisure,In Which Athletics Even Might You Use A Fosbury Flop,High Jump
Geography,Which Is The Largest Ocean,The Pacific Ocean
General,"Best known for 'dancin' in the streets', martha and the vandella's also hit the charts with the song about which man",Jimmy mack
General,The Sejm are the legislative body in which country,Poland
General,What is liquor distilled from the fermented mash of cereal grains and containing about 40 to 50 percent ethyl alcohol by volume,Whiskey
General,Who won an academy award for best supporting actress in the film 'the english patient',Juliet binoche
General,Robert Record in the mid 16th century invented what sign,Equals =
General,What did the Ayatollah Khomeni ban in 1979,Music on radio
Sports & Leisure,In Which Blood Sport Are Banderillas Used,Bull Fighting
General,What was the first stop of the mayflower when it reached the new world,Cape
Entertainment,Who sang 'Beat It'?,Michael Jackson
General,A person who starts fires maliciously is a(n) _________.,Arsonist
Science & Nature,"Which is a small flightless bird, also New Zealand's national symbol?",Kiwi
Geography,Florida is not the southernmost state in the United States. ___________ is farther south.,Hawaii
General,The koala eats the leaves from this tree,Eucalyptus
General,"In the cartoon Jem and the Holograms,what was the name of Jems computer.",Cinergy
Art & Literature,"From the Hebrew word for 'prophet'. A group of French painters active in the 1890s who worked in a subjective, sometimes mystical style, stressing flat areas of color and pattern. ",Nabis
General,Douglas Engelbart invented what - we all use it,Mouse
Sports & Leisure,Which Famous Athletics World Record Stood Between 1968 & 1991,Bob Beamans Long Jump
Science & Nature, Baby mink are born blind and remain sightless for a __________,Month
General,What Muslims practise shirling as a religious act,Dervishes
Entertainment,Who invented the synthesiser ?,Bob Moog
 History & Holidays,Which Revolutionary Icon Was Killed On 9th October 1967,Che Guevara
Geography,Constructed In 1333 Which Is The Oldest Wooden Bridge In Europe,The Kapellbrucke In Lucerne Switzerland
General,How do you tell a male chromosome from a female chromosome,Pull down their genes
General,What year was Robert the bruce crowned King of Scotland,1306
General,Washington police officers get a half hour class in how to what,Sit Down
General,"Who recorded the album ""the cry of love"" in 1970",Jimi hendrix
General,What is the most common name in italy?,Mario Rossi
General,What year was the intel pentium processor introduced,1993
Music,How Is Rock Star Vincent Furnier Better Known?,Alice Cooper
General,Diverse group of either single-celled or multicellular organisms that obtain food by direct absorption of nutrients,Fungi
General,Which animal uses white ear spots as identification marks,Tiger
Science & Nature,Francis Crick was the most famous of the discoverers of what?,DNA
General,Elvis Presley said big what on a woman turned him off,Feet
 History & Holidays,Which Actor Of The Silent Era Was Known As 'The Man Of A Thousand Faces',Lon Chaney
General,What is the Capital of: Turkmenistan,Ashgabat
General,George Fox founded which religious group,Quakers
General,What is Wales' national dish called?,Cawl
General,Where were Panama hats first made,Peru
General,Sweet opaque jelly of flavoured cornflour and milk,Blancmange
Science & Nature,Where Was The First Successful Steam Engine Installed,Dudley East Midlands 1712
Music,Which British Female Singer Recorded An Album In Memphis With Jerry Wexler Producing,Dusty Springfield
Science & Nature,In what organ of the body is insulin produced?,Pancreas
Tech & Video Games,"Who said ""All life begins and ends with Nu___at least this is my belief for now___""?                                                 ",Nu
 History & Holidays,What Was The Name Of The Son Of Cleopatra & Julius Caesar,Caesarion
General,The practice of women taking more than one husband is called?,Polyandry
General,Where did doughnuts originate,Holland
Science & Nature, The __________ has green bones.,Garfish
General,The Tilia is the Latin name for what type of tree,Lime
General,What is the main flavour of aioli,Garlic
General,"Bruce Willis, Arnold Schwarzenegger and Sylvester Stallone own which London restaurant",Planet hollywood
 Geography,Budapest is the capital of ______?,Hungary
Entertainment,What was Don Rickles' nickname?,Mr. Warmth
General,A normal human body has 46 what,Chromosomes
General,Which English Monarch Had The Shortest Reign,Edward 5th
General,"Nelis, Seckel, Forelle and Bosc all varieties of what",Pears
Geography,"Located in the Indian Ocean just north of the equator, __________ had a highly developed civilization as early as the fifth century B.C.",Sri lanka
Science & Nature,Dogs bark. What do donkeys do,Bray
General,George Harrison lost a plagiarism suit for which of his songs,My sweet lord
General,Lack of what makes albinos,Pigment
Science & Nature,Circuits can be wired in series or in _________.,Parallel
General,Who did zola budd trip in the 1984 los angeles olympics,Mary decker
General,If you landed at Shannon airport where are you,Limerick
General,Which of tea leaves or coffee beans have more caffeine,Tea leaves
General,What have over 80% of boxers suffered,Brain damage
 History & Holidays,Which TV Character Owns A Talking Cat Called Salem,Sabrina Teenage Witch
Music,What Kind Of triangle Did New Order Have,Bizarre Love Triangle
General,What is the longest continuous footpath in the world,Appalachian trail
General,Who was the Greek and Roman god of the wind?,Aeolus
General,Who was the first person to break the sound barrier,Chuck yager
General,BB King gave his guitar what nickname,Lucile
General,What is the french word for 'mistake',Faux pas
Geography,This re_opened in 1975 after being closed for 8 years.,Suez canal
Science & Nature,How Many Faces Has The Solid A Dodecahedron,12
General,For what is ethylene glycol used in automobiles,Anti-freeze
 History & Holidays,Which member of the Beatles got his first drum kit on Christmas Day 1957,Ringo Starr
Music,Name Led Zeppelins Drummer Who Died Of An Alcohol Related Incident In 1980,John Bonham
General,What is the flower that stands for: promptness,Ten-week stock
 History & Holidays,Which U.S. President was the first to have a Christmas tree in the White House?,Franklin Pierce (1853-1857)
Entertainment,"Besides the Stones, which group had the longest touring career until the founder's death in 1995?",The Grateful Dead
General,Winston Churchill married in 1908. What was his wife's Christian name,Clementine
General,What is the town locale in the tv serial search for tomorrow,Henderson
Tech & Video Games,"In the 'Extreme Battle' mini-game in 'Resident Evil 2', what characters are selectable?                                              ","Claire, Leon, Ada, and Chris"
General,How many days are there in a leap year,366
General,How many segments for the number 8 on a digital clock,Seven
Music,What Was The First No.1 For The Hollies,I'm Alive
 History & Holidays,Name The 8 Reindeer From 'The Night Before Christmas' Poem,"Blitzen, Comet, Cupid, Dancer, Dasher, Donner, Prancer, Vixen"
General,Which Famous Pop Star Made An On Screen Appearance Alongside Mr.T In The A Team,Boy George
General,In golf what name is given to the No 3 wood,Spoon
General,London and which UK city are joined by the Grand Union canal,Birmingham
General,Why did Mehmet Ali Agca become famous in 1981,Shooting pope jean paul ll
General,Marduk was the creator of the world to what ancient people,Babylonians
General,Casey Kasem was the original voice of what cartoon character,Shaggy on Scooby Doo
Tech & Video Games,Which body part is found in Bodley Mansion in 'Castlevania II: Simon's Quest'?                                                       ,An eye
General,What is the US equivalent of the UK Anglican church,Episcopalian
General,What is a mexican avocado dip,Guacamole
General,Who created james bond,Ian fleming
General,Who sang 'foolish games',Jewel
